epoque,train_loss_moy,train_loss_std,train_accuracy_moy,train_accuracy_std,train_precision_moy,train_precision_std,train_recall_moy,train_recall_std,train_f1_moy,train_f1_std,val_loss_moy,val_loss_std,val_accuracy_moy,val_accuracy_std,val_precision_moy,val_precision_std,val_recall_moy,val_recall_std,val_f1_moy,val_f1_std,val_auc_moy,val_auc_std
1,0.6546774503469466,0.0030779270498280677,0.6143792753837453,0.006456610839862647,0.6747589054902867,0.04088539237204584,0.23677043251076685,0.023672016067955146,0.34900284879022575,0.0203826586022665,0.5611485893764192,0.006639021395371211,0.7208725854739557,0.012964064031824624,0.7538745688705012,0.019395261723928775,0.5416600506411827,0.05990618807556165,0.6277704237056037,0.03554998187371994,0.7925529369524307,0.011065024084869401
2,0.4780694307088852,0.004702585957877435,0.7757847746578074,0.002997990205199049,0.8039723315023583,0.005655714963510423,0.6455880880942175,0.004602105910550777,0.7161109499797209,0.003735496329373459,0.4285544230824425,0.00555923210754878,0.8040350262565312,0.006849843334574882,0.8207883000758865,0.02740412252144412,0.7092281303602058,0.021632856920788826,0.7602178163596813,0.005517886045857483,0.8861951825169129,0.003313478417186137
3,0.32119358183145524,0.0023535675116110617,0.8679968375378403,0.0022113673424948724,0.885015797680507,0.002025247921266659,0.8029774375931256,0.004539069445232185,0.841997086333971,0.002949402882478244,0.35448106574633764,0.00765946295427484,0.8467928300460704,0.006570126402875116,0.8637616273166,0.01231945145031821,0.7724270195213592,0.019840936655337437,0.8152904380302232,0.009638146246846538,0.922581671257263,0.002612443748217044
4,0.2181212516069412,0.0024172987397962503,0.9156611509233732,0.0012331782763227285,0.9270949107253378,0.0018684329359110563,0.8763859408486926,0.0025674894495223656,0.9010242899973528,0.0015035718795673946,0.31976968475750517,0.012298024766525752,0.8690228709773045,0.0030481912008507505,0.8825488551431768,0.00992556609591459,0.8088919382504288,0.013041103750715292,0.8439756780310728,0.0043616870604492285,0.9391509648665572,0.0038161819976443956
5,0.1549801183104515,0.0018672925194687493,0.9440745371841661,0.0015941223007528518,0.9500017469064275,0.001887136714566449,0.9207910517829078,0.0025804834983533488,0.9351665707894457,0.0018782912279526112,0.31329995256567755,0.014512206592303406,0.8794369025377866,0.00520513329733727,0.8843221590861464,0.013730213847837477,0.8342691823899371,0.013198175105341062,0.8583970834948573,0.005963087540922151,0.9462474847652219,0.00371318452679848
6,0.11591063782274724,0.0021298227026244464,0.9608471747845979,0.0014868321468270262,0.9638993568172942,0.0005897617553844005,0.9460511460820934,0.0034905701069526305,0.9548884777914728,0.0017926558638689735,0.31047747191928676,0.022193459419101034,0.8879986061695797,0.004322694889544542,0.8969516933317625,0.01877384239061647,0.8418121048762558,0.017418114191268708,0.868150542111078,0.0044908055650561916,0.9507347720571608,0.004467946605665808
7,0.09140277295857667,0.0019714186769528314,0.9713488227613425,0.000692781464812163,0.9714606262024951,0.00133308519061126,0.9628814728634703,0.0003050109284231774,0.9671516901574092,0.000775153295413821,0.31232027120533445,0.021113449403037027,0.8936062416528422,0.0032797532623513133,0.8986080391565793,0.006729970502944461,0.8534690517030139,0.002854956560955131,0.8754418563730525,0.003471729869467178,0.9534920636993027,0.004637015667536333
8,0.07392973951883615,0.0018437556219530094,0.9779577559359401,0.0009181210006058236,0.9763794217365692,0.0013558012230548977,0.9732255709999388,0.0011073849921236362,0.9747994947864221,0.001045240870202548,0.3293720313244396,0.029896957064471652,0.8954084443310772,0.005133987944417032,0.8997117139418783,0.010405536016875203,0.8568988646573551,0.00835665574924078,0.877721464500165,0.0057699295077476495,0.9540950218861111,0.005034007320450408
9,0.06166986284255982,0.002385634986806959,0.9819631601061447,0.0006730942629848668,0.9810484543402278,0.0008772870069216414,0.9777117506582573,0.0012255265483924842,0.9793767102350174,0.0007733124155794661,0.33782057106967955,0.024933953237222393,0.895508694831985,0.00549548960541257,0.9053873757950403,0.013570836965313991,0.8506124315935637,0.006640131382286786,0.8770584548324543,0.005652421289627972,0.9545477719468675,0.004628600724209535
10,0.05148437684252858,0.002019989855416591,0.9849797304449635,0.0005882179288068715,0.9840737744618326,0.0011675333334739014,0.9815979099054968,0.0004977374912713315,0.9828339145251492,0.000664154949355829,0.3457997276905983,0.02676342974230667,0.8980119992253712,0.005172512340660262,0.9017004978289718,0.00917174024557715,0.8611269786816956,0.0031507997578964454,0.8809315650547092,0.005594268880175612,0.9554214210300286,0.004819630647252415
